bin,sep,p_count,i_count,variance,p_lam,i_lam
3.0,0.9142286142459088,35,48,0.9974766014083228,0.0865730748628288,0.07226704526493433
6.0,0.45694312052826813,175,243,0.9795403706928921,0.058562036559217795,0.06871508104019014
9.0,0.1833089762760684,807,917,0.9809351951608175,0.09283946807217994,0.08709635722363608
12.0,0.2543860161057559,820,727,0.9857355675870345,0.08978077911042355,0.10836295039009433
